index,Movie Name,Year,Actors,Directors,Writer,Rating
171,Once Were Warriors,03/03/95,"Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell",Lee Tamahori,"Riwia Brown, Alan Duff",7.9
172,"Carry On, Munna Bhai",01/09/06,"Sanjay Dutt, Arshad Warsi, Vidya Balan",Rajkumar Hirani,"Vidhu Vinod Chopra, Rajkumar Hirani, Abhijat Joshi",8.1
173,The White Ribbon,05/03/10,"Christian Friedel, Ernst Jacobi, Leonie Benesch",Michael Haneke,Michael Haneke,7.8
174,Touch of Evil,23/04/58,"Charlton Heston, Orson Welles, Janet Leigh",Orson Welles,"Orson Welles, Whit Masterson, Franklin Coen",8
175,Super 30,12/07/19,"Hrithik Roshan, Mrunal Thakur, Nandish Singh Sandhu",Vikas Bahl,Sanjeev Dutta,8.1
176,The Fall,30/05/08,"Lee Pace, Catinca Untaru, Justine Waddell",Tarsem Singh,"Dan Gilroy, Nico Soultanakis, Tarsem Singh",7.8
177,Princess Mononoke,19/12/97,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka",Hayao Miyazaki,"Hayao Miyazaki, Neil Gaiman",8.4
178,"Spring, Summer, Fall, Winter... and Spring",28/05/04,"Kim Ki-duk, Oh Yeong-su, Jong-ho Kim",Kim Ki-duk,Kim Ki-duk,8
179,The Salesman,31/08/16,"Shahab Hosseini, Taraneh Alidoosti, Mina Sadati",Asghar Farhadi,Asghar Farhadi,7.7
180,The Taking of Pelham One Two Three,14/11/74,"Walter Matthau, Robert Shaw, Martin Balsam",Joseph Sargent,"John Godey, Peter Stone",7.7
181,The King of Comedy,18/12/82,"Robert De Niro, Jerry Lewis, Diahnne Abbott",Martin Scorsese,Paul D. Zimmerman,7.8
182,A Night at the Opera,15/11/35,"Groucho Marx, Chico Marx, Harpo Marx","Sam Wood, Edmund Goulding","George S. Kaufman, Morrie Ryskind, James Kevin McGuinness",7.9
183,Raise the Red Lantern,18/12/91,"Gong Li, Jingwu Ma, Saifei He",Yimou Zhang,"Tong Su, Ni Zhen",8.1
184,The Innocents,15/12/61,"Deborah Kerr, Peter Wyngarde, Megs Jenkins",Jack Clayton,"Henry James, John Mortimer, William Archibald",7.8
185,The Raid 2,11/04/14,"Iko Uwais, Yayan Ruhian, Arifin Putra",Gareth Evans,Gareth Evans,7.9
186,Miracle on 34th Street,04/07/47,"Edmund Gwenn, Maureen OHara, John Payne",George Seaton,"George Seaton, Valentine Davies",7.9
187,In the Mood for Love,09/03/01,"Tony Chiu-Wai Leung, Maggie Cheung, Siu Ping-Lam",Kar-Wai Wong,Kar-Wai Wong,8.1
188,Barfi!,14/09/12,"Ranbir Kapoor, Priyanka Chopra Jonas, Ileana DCruz",Anurag Basu,"Anurag Basu, Tani Basu, Sanjeev Dutta",8.2
189,Happiness,16/10/98,"Jane Adams, Jon Lovitz, Philip Seymour Hoffman",Todd Solondz,Todd Solondz,7.7
190,Reservoir Dogs,02/09/92,"Harvey Keitel, Tim Roth, Michael Madsen",Quentin Tarantino,"Quentin Tarantino, Roger Avary",8.3
191,The Great Beauty,14/03/14,"Toni Servillo, Carlo Verdone, Sabrina Ferilli",Paolo Sorrentino,"Paolo Sorrentino, Umberto Contarello",7.7
192,Waking Life,07/03/02,"Ethan Hawke, Trevor Jack Brooks, Lorelei Linklater",Richard Linklater,Richard Linklater,7.8
193,Veer-Zaara,12/11/04,"Shah Rukh Khan, Preity Zinta, Rani Mukerji",Yash Chopra,Aditya Chopra,7.9
194,Hedwig and the Angry Inch,31/08/01,"John Cameron Mitchell, Miriam Shor, Stephen Trask",John Cameron Mitchell,"John Cameron Mitchell, Stephen Trask",7.7
195,Wild Tales,21/08/14,"Darío Grandinetti, María Marull, Mónica Villa",Damián Szifron,"Germán Servidio, Damián Szifron",8.1
196,Zindagi Na Milegi Dobara,15/07/11,"Hrithik Roshan, Farhan Akhtar, Abhay Deol",Zoya Akhtar,"Farhan Akhtar, Reema Kagti, Zoya Akhtar",8.2
197,Clerks,09/11/94,"Brian OHalloran, Jeff Anderson, Marilyn Ghigliotti",Kevin Smith,Kevin Smith,7.7
198,The Skin I Live In,02/09/11,"Antonio Banderas, Elena Anaya, Jan Cornet",Pedro Almodóvar,"Pedro Almodóvar, Agustín Almodóvar, Thierry Jonquet",7.6
199,Vertigo,22/05/58,"James Stewart, Kim Novak, Barbara Bel Geddes",Alfred Hitchcock,"Alec Coppel, Samuel A. Taylor, Pierre Boileau",8.3
200,Sing Street,17/03/16,"Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy",John Carney,"Simon Carmody, John Carney",7.9
201,All Quiet on the Western Front,24/08/30,"Lew Ayres, Louis Wolheim, John Wray",Lewis Milestone,"Erich Maria Remarque, Maxwell Anderson, George Abbott",8.1
202,Shoplifters,23/11/18,"Lily Franky, Sakura Andô, Kirin Kiki",Hirokazu Koreeda,Hirokazu Koreeda,7.9
203,What We Do in the Shadows,13/02/15,"Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer","Jemaine Clement, Taika Waititi","Jemaine Clement, Taika Waititi",7.7
204,Wings of Desire,06/05/88,"Bruno Ganz, Solveig Dommartin, Otto Sander",Wim Wenders,"Wim Wenders, Peter Handke, Richard Reitinger",8
205,A Man Called Ove,30/09/16,"Rolf Lassgård, Bahar Pars, Filip Berg",Hannes Holm,"Hannes Holm, Fredrik Backman",7.7
206,Mommy,08/10/14,"Anne Dorval, Antoine Olivier Pilon, Suzanne Clément",Xavier Dolan,Xavier Dolan,8.1
207,The Chorus,17/03/04,"Gérard Jugnot, François Berléand, Jean-Baptiste Maunier",Christophe Barratier,"Georges Chaperot, René Wheeler, Noël-Noël",7.9
208,Requiem for a Dream,15/12/00,"Ellen Burstyn, Jared Leto, Jennifer Connelly",Darren Aronofsky,"Hubert Selby Jr., Darren Aronofsky",8.3
209,Vera Drake,04/02/05,"Imelda Staunton, Jim Broadbent, Heather Craney",Mike Leigh,Mike Leigh,7.7
210,Portrait of a Lady on Fire,14/02/20,"Noémie Merlant, Adèle Haenel, Luàna Bajrami",Céline Sciamma,Céline Sciamma,8.1
211,"Lock, Stock and Two Smoking Barrels",28/08/98,"Jason Flemyng, Dexter Fletcher, Nick Moran",Guy Ritchie,Guy Ritchie,8.2
212,Ace in the Hole,04/07/51,"Kirk Douglas, Jan Sterling, Robert Arthur",Billy Wilder,"Billy Wilder, Lesser Samuels, Walter Newman",8.1
213,The Adventures of Robin Hood,14/05/38,"Errol Flynn, Olivia de Havilland, Basil Rathbone","Michael Curtiz, William Keighley","Norman Reilly Raine, Seton I. Miller, Rowland Leigh",7.9
214,Willy Wonka & the Chocolate Factory,30/06/71,"Gene Wilder, Jack Albertson, Peter Ostrum",Mel Stuart,"Roald Dahl, David Seltzer",7.8
215,My Name Is Khan,12/02/10,"Shah Rukh Khan, Kajol, Sheetal Menon",Karan Johar,"Shibani Bathija, Niranjan Iyengar",8
216,Breaking the Waves,13/11/96,"Emily Watson, Stellan Skarsgård, Katrin Cartlidge",Lars von Trier,"Lars von Trier, Peter Asmussen, David Pirie",7.8
217,Three Colors: Red,23/11/94,"Irène Jacob, Jean-Louis Trintignant, Frédérique Feder",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland",8.1
218,What Ever Happened to Baby Jane?,31/10/62,"Bette Davis, Joan Crawford, Victor Buono",Robert Aldrich,"Henry Farrell, Lukas Heller",8
219,Good Bye Lenin!,14/05/04,"Daniel Brühl, Katrin Sass, Chulpan Khamatova",Wolfgang Becker,"Bernd Lichtenberg, Wolfgang Becker, Achim von Borries",7.7
220,Le Dîner de Cons,15/04/98,"Thierry Lhermitte, Jacques Villeret, Francis Huster",Francis Veber,Francis Veber,7.6
221,Sleuth,11/12/72,"Laurence Olivier, Michael Caine, Alec Cawthorne",Joseph L. Mankiewicz,Anthony Shaffer,8
222,The Raid: Redemption,13/04/12,"Iko Uwais, Ananda George, Ray Sahetapy",Gareth Evans,Gareth Evans,7.6
223,Ran,01/06/85,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu",Akira Kurosawa,"Akira Kurosawa, Hideo Oguni, Masato Ide",8.2
224,Dancer in the Dark,06/10/00,"Björk, Catherine Deneuve, David Morse",Lars von Trier,"Lars von Trier, Sjón",8
225,Uri: The Surgical Strike,11/01/19,"Vicky Kaushal, Paresh Rawal, Mohit Raina",Aditya Dhar,Aditya Dhar,8.4
226,The Lunchbox,20/09/13,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui",Ritesh Batra,"Ritesh Batra, Vasan Bala",7.8
227,It Happened One Night,22/02/34,"Clark Gable, Claudette Colbert, Walter Connolly",Frank Capra,"Robert Riskin, Samuel Hopkins Adams",8.1
228,The Bride of Frankenstein,06/05/35,"Boris Karloff, Elsa Lanchester, Colin Clive",James Whale,"Mary Shelley, William Hurlbut, John L. Balderston",7.8
229,Rebecca,12/04/40,"Laurence Olivier, Joan Fontaine, George Sanders",Alfred Hitchcock,"Daphne Du Maurier, Robert E. Sherwood, Joan Harrison",8.1
230,Laura,01/11/44,"Gene Tierney, Dana Andrews, Clifton Webb",Otto Preminger,"Vera Caspary, Jay Dratler, Samuel Hoffenstein",7.9
231,12 Angry Men,10/04/57,"Henry Fonda, Lee J. Cobb, Martin Balsam",Sidney Lumet,Reginald Rose,9
232,Black Book,18/05/07,"Carice van Houten, Sebastian Koch, Thom Hoffman",Paul Verhoeven,"Gerard Soeteman, Paul Verhoeven",7.7
233,Hamlet,25/12/96,"Kenneth Branagh, Julie Christie, Derek Jacobi",Kenneth Branagh,"William Shakespeare, Kenneth Branagh",7.8
234,The Conversation,12/04/74,"Gene Hackman, John Cazale, Allen Garfield",Francis Ford Coppola,Francis Ford Coppola,7.8
235,Persepolis,22/02/08,"Chiara Mastroianni, Catherine Deneuve, Gena Rowlands","Vincent Paronnaud, Marjane Satrapi","Marjane Satrapi, Vincent Paronnaud",8
236,"Blood In, Blood Out",30/04/93,"Damian Chapa, Jesse Borrego, Benjamin Bratt",Taylor Hackford,"Ross Thomas, Jimmy Santiago Baca, Jeremy Iacone",7.9
237,"Goodbye, Children",12/02/88,"Gaspard Manesse, Raphael Fejtö, Francine Racette",Louis Malle,Louis Malle,8
238,You Cant Take It with You,29/09/38,"Jean Arthur, James Stewart, Lionel Barrymore",Frank Capra,"Robert Riskin, George S. Kaufman, Moss Hart",7.8
239,Howls Moving Castle,17/06/05,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin",Hayao Miyazaki,"Hayao Miyazaki, Diana Wynne Jones",8.2
240,This Is Spinal Tap,02/03/84,"Rob Reiner, Michael McKean, Christopher Guest",Rob Reiner,"Christopher Guest, Michael McKean, Harry Shearer",7.9
241,The Magdalene Sisters,29/08/03,"Eileen Walsh, Dorothy Duffy, Nora-Jane Noone",Peter Mullan,Peter Mullan,7.7
242,The Magnificent Seven,23/09/16,"Denzel Washington, Chris Pratt, Ethan Hawke",Antoine Fuqua,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni",6.9
243,Jean de Florette,28/08/87,"Yves Montand, Gérard Depardieu, Daniel Auteuil",Claude Berri,"Claude Berri, Gérard Brach, Marcel Pagnol",8.1
244,Fanny and Alexander,17/12/82,"Bertil Guve, Pernilla Allwin, Kristina Adolphson",Ingmar Bergman,Ingmar Bergman,8.1
245,Moon,10/07/09,"Sam Rockwell, Kevin Spacey, Dominique McElligott",Duncan Jones,"Duncan Jones, Nathan Parker",7.8
246,The Treasure of the Sierra Madre,24/01/48,"Humphrey Bogart, Walter Huston, Tim Holt",John Huston,"John Huston, B. Traven",8.2
247,Your Name.,07/04/17,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita",Makoto Shinkai,"Makoto Shinkai, Clark Cheng",8.4
248,Millers Crossing,05/10/90,"Gabriel Byrne, Albert Finney, John Turturro","Joel Coen, Ethan Coen","Joel Coen, Ethan Coen, Dashiell Hammett",7.7
249,Dawn of the Dead,19/03/04,"Sarah Polley, Ving Rhames, Mekhi Phifer",Zack Snyder,"George A. Romero, James Gunn",7.3
250,The Worlds Fastest Indian,24/03/06,"Anthony Hopkins, Diane Ladd, Iain Rea",Roger Donaldson,Roger Donaldson,7.8
251,Hunt for the Wilderpeople,01/07/16,"Sam Neill, Julian Dennison, Rima Te Wiata",Taika Waititi,"Taika Waititi, Barry Crump, Tearepa Kahi",7.8
252,The Wind Rises,21/02/14,"Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto",Hayao Miyazaki,Hayao Miyazaki,7.8
253,Farewell My Concubine,15/10/93,"Leslie Cheung, Fengyi Zhang, Gong Li",Kaige Chen,"Pik-Wah Lee, Wei Lu",8.1
254,Once Upon a Time in the West,04/07/69,"Henry Fonda, Charles Bronson, Claudia Cardinale",Sergio Leone,"Sergio Donati, Sergio Leone, Dario Argento",8.5
255,Once Upon a Time in America,01/06/84,"Robert De Niro, James Woods, Elizabeth McGovern",Sergio Leone,"Harry Grey, Leonardo Benvenuti, Piero De Bernardi",8.4
256,Amores perros,13/04/01,"Emilio Echevarría, Gael García Bernal, Goya Toledo",Alejandro G. Iñárritu,Guillermo Arriaga,8.1
257,The Kid,06/02/21,"Charles Chaplin, Edna Purviance, Jackie Coogan",Charles Chaplin,Charles Chaplin,8.3
258,The Gold Rush,13/07/25,"Charles Chaplin, Mack Swain, Tom Murray",Charles Chaplin,Charles Chaplin,8.2
259,Downfall,08/04/05,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes",Oliver Hirschbiegel,"Bernd Eichinger, Joachim Fest, Traudl Junge",8.2
260,Before Sunrise,27/01/95,"Ethan Hawke, Julie Delpy, Andrea Eckert",Richard Linklater,"Richard Linklater, Kim Krizan",8.1
261,Gully Boy,14/02/19,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi",Zoya Akhtar,"Zoya Akhtar, Reema Kagti, Vijay Maurya",7.9
262,Central Station,20/11/98,"Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra",Walter Salles,"Marcos Bernstein, João Emanuel Carneiro, Walter Salles",8
263,Batman: Mask of the Phantasm,25/12/93,"Kevin Conroy, Dana Delany, Hart Bochner","Kevin Altieri, Boyd Kirkland, Frank Paur","Alan Burnett, Paul Dini, Martin Pasko",7.8
264,Double Indemnity,06/07/44,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson",Billy Wilder,"Billy Wilder, Raymond Chandler, James M. Cain",8.3
265,The Station Agent,05/12/03,"Peter Dinklage, Patricia Clarkson, Bobby Cannavale",Tom McCarthy,Tom McCarthy,7.6
266,Before Sunset,30/07/04,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff",Richard Linklater,"Richard Linklater, Julie Delpy, Ethan Hawke",8.1
267,Captain Fantastic,29/07/16,"Viggo Mortensen, George MacKay, Samantha Isler",Matt Ross,Matt Ross,7.8
268,Ed Wood,07/10/94,"Johnny Depp, Martin Landau, Sarah Jessica Parker",Tim Burton,"Rudolph Grey, Scott Alexander, Larry Karaszewski",7.9
269,Evil Dead II,13/03/87,"Bruce Campbell, Sarah Berry, Dan Hicks",Sam Raimi,"Sam Raimi, Scott Spiegel",7.7
270,The Diving Bell and the Butterfly,01/02/08,"Mathieu Amalric, Emmanuelle Seigner, Marie-Josée Croze",Julian Schnabel,"Ronald Harwood, Jean-Dominique Bauby",8
271,"The Good, the Bad and the Ugly",29/12/67,"Clint Eastwood, Eli Wallach, Lee Van Cleef",Sergio Leone,"Luciano Vincenzoni, Sergio Leone, Agenore Incrocci",8.8
272,Short Cuts,01/10/93,"Andie MacDowell, Julianne Moore, Tim Robbins",Robert Altman,"Raymond Carver, Robert Altman, Frank Barhydt",7.7
273,Barton Fink,21/08/91,"John Turturro, John Goodman, Judy Davis","Joel Coen, Ethan Coen","Joel Coen, Ethan Coen",7.7
274,A Very Long Engagement,14/01/05,"Audrey Tautou, Gaspard Ulliel, Jodie Foster",Jean-Pierre Jeunet,"Sébastien Japrisot, Jean-Pierre Jeunet, Guillaume Laurant",7.6
275,The Straight Story,03/11/99,"Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz",David Lynch,"John Roach, Mary Sweeney",8
276,A Clockwork Orange,02/02/72,"Malcolm McDowell, Patrick Magee, Michael Bates",Stanley Kubrick,"Stanley Kubrick, Anthony Burgess",8.3
277,The Secret in Their Eyes,21/05/10,"Ricardo Darín, Soledad Villamil, Pablo Rago",Juan José Campanella,"Eduardo Sacheri, Juan José Campanella",8.2
278,3 Idiots,25/12/09,"Aamir Khan, Madhavan, Mona Singh",Rajkumar Hirani,"Rajkumar Hirani, Abhijat Joshi, Vidhu Vinod Chopra",8.5
279,The Big Sleep,31/08/46,"Humphrey Bogart, Lauren Bacall, John Ridgely",Howard Hawks,"William Faulkner, Leigh Brackett, Jules Furthman",7.9
280,American History X,20/11/98,"Edward Norton, Edward Furlong, Beverly DAngelo",Tony Kaye,David McKenna,8.5
281,Loving Vincent,22/09/17,"Douglas Booth, Jerome Flynn, Robert Gulaczyk","Dorota Kobiela, Hugh Welchman","Dorota Kobiela, Hugh Welchman, Jacek Dehnel",7.8
282,Baahubali: The Beginning,09/07/15,"Prabhas, Rana Daggubati, Ramya Krishnan",S.S. Rajamouli,"Vijayendra Prasad, S.S. Rajamouli, C.H. Vijay Kumar",8.1
283,Amour,20/09/12,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert",Michael Haneke,Michael Haneke,7.9
284,Me and Earl and the Dying Girl,01/07/15,"Thomas Mann, RJ Cyler, Olivia Cooke",Alfonso Gomez-Rejon,Jesse Andrews,7.7
285,Incendies,12/01/11,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",Denis Villeneuve,"Denis Villeneuve, Wajdi Mouawad, Valérie Beaugrand-Champagne",8.3
286,The Irishman,27/11/19,"Robert De Niro, Al Pacino, Joe Pesci",Martin Scorsese,"Steven Zaillian, Charles Brandt",7.8
287,The Triplets of Belleville,13/02/04,"Michèle Caucheteux, Jean-Claude Donda, Michel Robin",Sylvain Chomet,Sylvain Chomet,7.8
288,Deliverance,18/08/72,"Jon Voight, Burt Reynolds, Ned Beatty",John Boorman,"James Dickey, John Boorman",7.7
289,A Separation,16/03/11,"Payman Maadi, Leila Hatami, Sareh Bayat",Asghar Farhadi,Asghar Farhadi,8.3
290,The Name of the Rose,24/09/86,"Sean Connery, Christian Slater, Helmut Qualtinger",Jean-Jacques Annaud,"Umberto Eco, Andrew Birkin, Gérard Brach",7.7
291,Mulholland Drive,19/10/01,"Naomi Watts, Laura Harring, Justin Theroux",David Lynch,David Lynch,7.9
292,Run Lola Run,18/06/99,"Franka Potente, Moritz Bleibtreu, Herbert Knaup",Tom Tykwer,Tom Tykwer,7.7
293,City of God,13/02/04,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele","Fernando Meirelles, Kátia Lund","Paulo Lins, Bráulio Mantovani",8.6
294,Strangers on a Train,30/06/51,"Farley Granger, Robert Walker, Ruth Roman",Alfred Hitchcock,"Raymond Chandler, Czenzi Ormonde, Whitfield Cook",7.9
295,In Bruges,29/02/08,"Colin Farrell, Brendan Gleeson, Ciarán Hinds",Martin McDonagh,Martin McDonagh,7.9
296,A Streetcar Named Desire,19/09/51,"Vivien Leigh, Marlon Brando, Kim Hunter",Elia Kazan,"Tennessee Williams, Oscar Saul",8
297,Before Midnight,14/06/13,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick",Richard Linklater,"Richard Linklater, Julie Delpy, Ethan Hawke",7.9
298,Witness for the Prosecution,06/02/58,"Tyrone Power, Marlene Dietrich, Charles Laughton",Billy Wilder,"Agatha Christie, Billy Wilder, Harry Kurnitz",8.4
299,Bajrangi Bhaijaan,17/07/15,"Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui",Kabir Khan,"Vijayendra Prasad, Kabir Khan, Parveez Sheikh",8.1
300,All About My Mother,31/03/00,"Cecilia Roth, Marisa Paredes, Candela Peña",Pedro Almodóvar,Pedro Almodóvar,7.8
301,The Hustler,25/09/61,"Paul Newman, Jackie Gleason, Piper Laurie",Robert Rossen,"Sidney Carroll, Robert Rossen, Walter Tevis",8
302,Chinatown,20/06/74,"Jack Nicholson, Faye Dunaway, John Huston",Roman Polanski,"Robert Towne, Roman Polanski",8.2
303,Blue Velvet,01/01/86,"Isabella Rossellini, Kyle MacLachlan, Dennis Hopper",David Lynch,David Lynch,7.7
304,Singin in the Rain,11/04/52,"Gene Kelly, Donald OConnor, Debbie Reynolds","Stanley Donen, Gene Kelly","Betty Comden, Adolph Green",8.3
305,The Boy in the Striped Pajamas,26/11/08,"Asa Butterfield, David Thewlis, Rupert Friend",Mark Herman,"John Boyne, Mark Herman",7.8
306,Whats Eating Gilbert Grape,04/03/94,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis",Lasse Hallström,Peter Hedges,7.8
307,Talk to Her,14/02/03,"Rosario Flores, Javier Cámara, Darío Grandinetti",Pedro Almodóvar,Pedro Almodóvar,7.9
308,Once,15/06/07,"Glen Hansard, Markéta Irglová, Hugh Walsh",John Carney,John Carney,7.8
309,High Noon,30/07/52,"Gary Cooper, Grace Kelly, Thomas Mitchell",Fred Zinnemann,"Carl Foreman, John W. Cunningham",8
310,The Lost Weekend,01/01/46,"Ray Milland, Jane Wyman, Phillip Terry",Billy Wilder,"Charles R. Jackson, Charles Brackett, Billy Wilder",7.9
311,Mr. Smith Goes to Washington,19/10/39,"James Stewart, Jean Arthur, Claude Rains",Frank Capra,"Sidney Buchman, Lewis R. Foster, Myles Connolly",8.1
312,On the Waterfront,22/06/54,"Marlon Brando, Karl Malden, Lee J. Cobb",Elia Kazan,"Budd Schulberg, Malcolm Johnson, Robert Siodmak",8.1
313,Brazil,18/12/85,"Jonathan Pryce, Kim Greist, Robert De Niro",Terry Gilliam,"Terry Gilliam, Tom Stoppard, Charles McKeown",7.9
314,King Kong,14/12/05,"Naomi Watts, Jack Black, Adrien Brody",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson",7.2
315,Spirited Away,28/03/03,"Daveigh Chase, Suzanne Pleshette, Miyu Irino",Hayao Miyazaki,Hayao Miyazaki,8.6
316,The Girl with the Dragon Tattoo,21/12/11,"Daniel Craig, Rooney Mara, Christopher Plummer",David Fincher,"Steven Zaillian, Stieg Larsson",7.8
317,Notorious,06/09/46,"Cary Grant, Ingrid Bergman, Claude Rains",Alfred Hitchcock,"Ben Hecht, Alfred Hitchcock, John Taintor Foote",7.9
318,The Quiet Man,14/09/52,"John Wayne, Maureen OHara, Barry Fitzgerald",John Ford,"Frank S. Nugent, Maurice Walsh, John Ford",7.8
319,After Hours,11/10/85,"Griffin Dunne, Rosanna Arquette, Verna Bloom",Martin Scorsese,Joseph Minion,7.6
320,PK,19/12/14,"Aamir Khan, Anushka Sharma, Sanjay Dutt",Rajkumar Hirani,"Rajkumar Hirani, Abhijat Joshi",8.2
321,The Purple Rose of Cairo,19/04/85,"Mia Farrow, Jeff Daniels, Danny Aiello",Woody Allen,Woody Allen,7.7
322,Glengarry Glen Ross,02/10/92,"Al Pacino, Jack Lemmon, Alec Baldwin",James Foley,David Mamet,7.7
323,Office Space,19/02/99,"Ron Livingston, Jennifer Aniston, David Herman",Mike Judge,Mike Judge,7.7
324,The Red Shoes,06/09/48,"Anton Walbrook, Marius Goring, Moira Shearer","Michael Powell, Emeric Pressburger","Hans Christian Andersen, Emeric Pressburger, Keith Winter",8.1
325,The Lives of Others,30/03/07,"Ulrich Mühe, Martina Gedeck, Sebastian Koch",Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,8.4
326,The Birds,29/03/63,"Rod Taylor, Tippi Hedren, Jessica Tandy",Alfred Hitchcock,"Daphne Du Maurier, Evan Hunter",7.7
327,The Boat,10/02/82,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann",Wolfgang Petersen,"Wolfgang Petersen, Lothar G. Buchheim",8.4
328,Zelig,25/08/83,"Woody Allen, Mia Farrow, Patrick Horgan",Woody Allen,Woody Allen,7.7
329,Anatomy of a Murder,13/07/59,"James Stewart, Lee Remick, Ben Gazzara",Otto Preminger,"Wendell Mayes, John D. Voelker",8
330,Cinema Paradiso,23/02/90,"Philippe Noiret, Enzo Cannavale, Antonella Attili",Giuseppe Tornatore,"Giuseppe Tornatore, Vanna Paoli",8.5
331,The Wild Bunch,19/06/69,"William Holden, Ernest Borgnine, Robert Ryan",Sam Peckinpah,"Walon Green, Sam Peckinpah, Roy N. Sickner",7.9
332,The Great Escape,04/07/63,"Steve McQueen, James Garner, Richard Attenborough",John Sturges,"Paul Brickhill, James Clavell, W.R. Burnett",8.2
333,True Romance,10/09/93,"Christian Slater, Patricia Arquette, Dennis Hopper",Tony Scott,"Quentin Tarantino, Roger Avary",7.9
334,Gattaca,24/10/97,"Ethan Hawke, Uma Thurman, Jude Law",Andrew Niccol,Andrew Niccol,7.8
335,Dangal,21/12/16,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",Nitesh Tiwari,"Piyush Gupta, Shreyas Jain, Nikhil Mehrotra",8.4
336,The Road Warrior,21/05/82,"Mel Gibson, Bruce Spence, Michael Preston",George Miller,"Terry Hayes, George Miller, Brian Hannant",7.6
337,Rio Bravo,04/04/59,"John Wayne, Dean Martin, Ricky Nelson",Howard Hawks,"Jules Furthman, Leigh Brackett, B.H. McCampbell",8
338,25th Hour,10/01/03,"Edward Norton, Barry Pepper, Philip Seymour Hoffman",Spike Lee,David Benioff,7.6
339,Whiplash,15/10/14,"Miles Teller, J.K. Simmons, Melissa Benoist",Damien Chazelle,Damien Chazelle,8.5
340,The Intouchables,02/11/11,"François Cluzet, Omar Sy, Anne Le Ny","Olivier Nakache, Éric Toledano","Olivier Nakache, Philippe Pozzo di Borgo, Éric Toledano",8.5
341,North by Northwest,18/12/59,"Cary Grant, Eva Marie Saint, James Mason",Alfred Hitchcock,Ernest Lehman,8.3
342,Secrets,16/03/33,"Mary Pickford, Leslie Howard, C. Aubrey Smith",Frank Borzage,"Frances Marion, Salisbury Field, Leonard Praskins",6.5
343,Charade,05/12/63,"Cary Grant, Audrey Hepburn, Walter Matthau",Stanley Donen,"Peter Stone, Marc Behm",7.9
344,Shaun of the Dead,24/09/04,"Simon Pegg, Nick Frost, Kate Ashfield",Edgar Wright,"Simon Pegg, Edgar Wright",7.9
345,Y tu mamá también,08/06/01,"Maribel Verdú, Gael García Bernal, Daniel Giménez Cacho",Alfonso Cuarón,"Carlos Cuarón, Alfonso Cuarón",7.6
346,Warrior,09/09/11,"Tom Hardy, Nick Nolte, Joel Edgerton",Gavin OConnor,"Gavin OConnor, Anthony Tambakis, Cliff Dorfman",8.2
347,Letters from Iwo Jima,02/02/07,"Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara",Clint Eastwood,"Iris Yamashita, Paul Haggis, Tadamichi Kuribayashi",7.9
348,The Thing,25/06/82,"Kurt Russell, Wilford Brimley, Keith David",John Carpenter,"Bill Lancaster, John W. Campbell Jr.",8.2
349,Dark City,27/02/98,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly",Alex Proyas,"Alex Proyas, Lem Dobbs, David S. Goyer",7.6
350,A Fistful of Dollars,18/01/67,"Clint Eastwood, Gian Maria Volontè, Marianne Koch",Sergio Leone,"Adriano Bolzoni, Mark Lowell, Víctor Andrés Catena",8
351,Room,22/01/16,"Brie Larson, Jacob Tremblay, Sean Bridgers",Lenny Abrahamson,Emma Donoghue,8.1
352,My Left Foot,30/03/90,"Daniel Day-Lewis, Brenda Fricker, Alison Whelan",Jim Sheridan,"Shane Connaughton, Jim Sheridan, Christy Brown",7.9
