index,Movie Name,Year,Actors,Directors,Writer,Rating
646,Black Hawk Down,18/01/02,"Josh Hartnett, Ewan McGregor, Tom Sizemore",Ridley Scott,"Mark Bowden, Ken Nolan",7.7
647,Creed,25/11/15,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson",Ryan Coogler,"Ryan Coogler, Aaron Covington, Sylvester Stallone",7.6
648,The Last Samurai,05/12/03,"Tom Cruise, Ken Watanabe, Billy Connolly",Edward Zwick,"John Logan, Edward Zwick, Marshall Herskovitz",7.8
649,The Little Mermaid,17/11/89,"Jodi Benson, Samuel E. Wright, Rene Auberjonois","Ron Clements, John Musker","John Musker, Ron Clements, Hans Christian Andersen",7.6
650,Doctor Zhivago,31/12/65,"Omar Sharif, Julie Christie, Geraldine Chaplin",David Lean,"Boris Pasternak, Robert Bolt",8
651,One Flew Over the Cuckoos Nest,19/11/75,"Jack Nicholson, Louise Fletcher, Michael Berryman",Milos Forman,"Lawrence Hauben, Bo Goldman, Ken Kesey",8.7
652,District 9,14/08/09,"Sharlto Copley, David James, Jason Cope",Neill Blomkamp,"Neill Blomkamp, Terri Tatchell",7.9
653,Remember the Titans,29/09/00,"Denzel Washington, Will Patton, Wood Harris",Boaz Yakin,Gregory Allen Howard,7.8
654,The Wolf of Wall Street,25/12/13,"Leonardo DiCaprio, Jonah Hill, Margot Robbie",Martin Scorsese,"Terence Winter, Jordan Belfort",8.2
655,Rocky,03/12/76,"Sylvester Stallone, Talia Shire, Burt Young",John G. Avildsen,Sylvester Stallone,8.1
656,Ford v Ferrari,15/11/19,"Matt Damon, Christian Bale, Jon Bernthal",James Mangold,"Jez Butterworth, John-Henry Butterworth, Jason Keller",8.1
657,Back to the Future Part II,22/11/89,"Michael J. Fox, Christopher Lloyd, Lea Thompson",Robert Zemeckis,"Robert Zemeckis, Bob Gale",7.9
658,Blazing Saddles,07/02/74,"Cleavon Little, Gene Wilder, Slim Pickens",Mel Brooks,"Mel Brooks, Norman Steinberg, Andrew Bergman",7.7
659,Walk the Line,18/11/05,"Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin",James Mangold,"Johnny Cash, Gill Dennis, James Mangold",7.8
660,Inglourious Basterds,21/08/09,"Brad Pitt, Diane Kruger, Eli Roth",Quentin Tarantino,Quentin Tarantino,8.3
661,Mulan,19/06/98,"Ming-Na Wen, Eddie Murphy, BD Wong","Tony Bancroft, Barry Cook","Robert D. San Souci, Rita Hsiao, Chris Sanders",7.6
662,Superbad,17/08/07,"Michael Cera, Jonah Hill, Christopher Mintz-Plasse",Greg Mottola,"Seth Rogen, Evan Goldberg",7.6
